Project,Address,X,Y,Department,Type,Funding Source,Status,TOTAL,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Project Description,Project Justification
Brown School Landscape & Playground Redesign,"104 Kidder Ave
Somerville, MA
(42.397723, -71.114438)",,,T&I,Parks & Playgrounds,School Dept,Approved,50000.00,50000.00,,,,,,,,,,Redesign of the Brown School landscaping.,"In collaboration with the School Department the City is exploring a number of playground updates throughout Somerville schools. Many of these projects listed in future years will be prioritized in an updated Open Space Plan, currently being created. This plan will assess current conditions and future needs for all parks and playgrounds in the city, and be used to guide future investments. Currently under review at the Brown School are the asphalt playground area and green space surrounding the school, with the intent to create more usable space for students and teachers."
Foss Park Improvements,"45 Fellsway W
Somerville, MA
(42.392098, -71.088541)",,,TBD,Parks & Playgrounds,Debt Service,Pending Review,6500000.00,,1500000.00,5000000.00,,,,,,,,"Improvements to the fields and amenities at the state-controlled Foss Park, the largest green space in Somerville.","The City is working with the Department of Conservation and Recreation on developing a strategic plan for Foss Park as part of a larger fields & open space master plan, intending to update and enhance one of the most-used parks in the city."
East Broadway Streetscape Supplemental,"105 Broadway
Somerville, MA
(42.387564, -71.08311)",,,T&I,Infrastructure,Debt Service,Approved,475000.00,325000.00,150000.00,,,,,,,,,"Closeout expenses for the East Broadway Streetscape project. The FY16 allotment is to pay for the final costs associated with the completion of the project, with the $150,000 in FY17 proposed for added sidewalk and lighting features in the project area.",The costs slated for FY16 are required to close out the streetscape project. The FY17 work will improve sidewalk and lighting features to make the area feel consistent with the rest of the city.
Conway Retaining Wall,"559 Somerville Ave
Somerville, MA
(42.383473, -71.10761)",,,DPW,One-Time,Debt Service,Approved,400000.00,400000.00,,,,,,,,,,Replace and reinforce the retaining wall at Conway Park.,"The retaining wall has been evaluated by engineers and been deemed a safety concern. While the wall has not moved in a significant amount of time, the assessment concluded it should be replaced."
SHS North Wall leakage repair,"311 Medford St
Somerville, MA
(42.386384, -71.094347)",,,Capital Projects,One-Time,Debt Service,Approved,1100000.00,100000.00,1000000.00,,,,,,,,,Repair damage caused by moisture intrusion in the North Wall of Somerville High School,"If the North Wall is not repaired, the moisture intrusion could worsen and further degrade the integrity of the school. Given the unknown status of Somerville High School, a temporary solution may be deemed most appropriate."
Tree Planting,,,,T&I,Recurring,"Debt Service, CDBG",Approved,1500000.00,150000.00,150000.00,150000.00,150000.00,150000.00,150000.00,150000.00,150000.00,150000.00,150000.00,Plant and replace trees in the city through the use of contracted services.,"The City aspires to reach its goal of increasing the tree canopy in order to reap the many benefits of urban trees for our community including improved air quality, reduced storm water runoff, reduced heating and cooling costs, traffic calming effects, and reduction in the concentration of the greenhouse gas CO2."
Police Vehicle Replacement,,,,Police,Recurring,"LETF, Debt Service",Approved,265000.00,265000.00,,,,,,,,,,Annual replacement of Police Department vehicles.,"Police vehicles are operational 24 hours a day, 365 days a year. The average life of a marked front line police cruiser is less than two years due to this level of wear and tear. It is necessary to replace existing front line vehicles and convert them to a secondary purpose."
DPW Vehicle Replacement,,,,DPW,Recurring,Debt Service,Pending Review,9534000.00,,1145000.00,1257000.00,1115000.00,1017000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,Purchase new vehicles for the Department of Public Works to replace existing aged vehicles as prioritized by the DPW Commissioner and Fleet Manager. DPW has developed an anticipated replacement schedule and the City will strive to fully fund this plan on an ongoing basis.,"The City’s DPW had an aging fleet, with many vehicles still in service past their expected life cycle. Replacement of older vehicles will reduce the amount of downtime and resources spent maintaining the fleet."
West Branch Library Renovation,,,,Capital Projects,Major Building,"Debt Service, CPA",Approved,7235000.00,735000.00,6500000.00,,,,,,,,,"Renovation of the City’s West Branch Library. Currently, the building requires both ramps and an elevator to become ADA compliant and allow for increased use and programming. This project will add an ADA-accessible entrance and bathroom facilities on the North corner of the library, and redesign the interior usage based off current and projected programming needs.","Currently, the library requires ramps, and elevator, and bathroom facilities to become ADA compliant. Current designs also include a community meeting space, a scarce resource throughout the city."
Buena Vista Parking Garage Repairs,"27 Buena Vista Rd
Somerville, MA
(42.39793, -71.124268)",,,Capital Projects,One-Time,Debt Service,Approved,600000.00,600000.00,,,,,,,,,,The City-owned Buena Vista Parking Garage in Davis Square has developed a structural issue which has required a small section of the garage to be shut down.,"City engineers have determined that the garage is safe for use, but it has been suggested that repairs should be completed now to avoid future costs."
Central Hill/City Hall Concourse Park,"81 Highland Ave
Somerville, MA
(42.386046, -71.096461)",,,Capital Projects,One-Time,Debt Service,Pending Review,3000000.00,,,200000.00,2800000.00,,,,,,,"Improve the open space on the City Hall concourse and redevelop the Central Hill playground area with new sidewalks, curbing, paving, drainage, major landscaping, playground improvements, and re-visioning of the Dilboy Memorial. This project will be influenced greatly by the decisions made regarding the siting and scope of a new Somerville High School, and may eventually be rolled into the SHS project.",An improved Central Hill Park and City Hall Concourse improvements will define and enhance the Central Hill area as a destination for active recreation and passive enjoyment.
East Branch Library Remodel,"115 Broadway
Somerville, MA
(42.38772, -71.083576)",,,Capital Projects,One-Time,Debt Service,Pending Review,2700000.00,,,2700000.00,,,,,,,,"Expansion, repairs, and needed upgrades to the East Branch Library.","The East Branch Library is heavily used, particularly by those within the immediate neighborhood and youth attending nearby schools. The building also functions as a polling station and holds English as a Second Language (ESL) classes. The building, however, does not have the capacity to expand current services, cannot hold multiple events at the same time, and requires repair and modernization work to address functionality, technical, and code-related issues. This Carnegie Library should also be a landmark along this busy commercial corridor and repairs will enhance its presence along the upgraded East Broadway streetscape."
New Police Station,,,,Capital Projects,Major Building,Debt Service,Pending Review,15250000.00,,,250000.00,1500000.00,13500000.00,,,,,,Feasibility study and construction for a new public safety building at a yet-to-be determined site.,"State agencies and independent contractors have concluded that it would be both difficult and cost-prohibitive to undertake renovations to repair and modernize the current public safety building, which was originally built as an MBTA maintenance facility. The building has also been estimated at about half the size necessary to accommodate appropriate public safety needs."
SHS Design and Architecture,"81 Highland Ave
Somerville, MA
(42.386046, -71.096461)",,,Capital Projects,Major Building,Debt Service,Pending Review,12000000.00,,2000000.00,6000000.00,4000000.00,,,,,,,"The City has received approval to move ahead with feasibility and design work for a proposed new high school building. This process will take into account the siting, phasing, and construction challenges which face this type of large-scale project.","The current high school building was constructed in the 19th century and despite numerous renovations and investments is no longer serving the community at a high level. The Massachusetts School Building Association may fund up to 80% of the cost of a renovated or nely-constructed high school, and the City is undertaking preliminary work regarding siting, capacity, and programmatic needs. This process will clarify what type of financial commitment the City will be required to make and lay the ground work for a top tier high school for future generations."
Gilman Square Revitalization Plan,"333 Medford St
Somerville, MA
(42.387398, -71.095389)",,,Planning & Zoning,Planning,Debt Service or CPA,Pending Review,300000.00,,300000.00,,,,,,,,,"In collaboration with consultants, plan for and design operational and aesthetic improvements to the Gilman Square Neighborhood in anticipation of the Green Line MBTA Gilman Square Station.","The anticipated addition of a new MBTA Green Line stop in Gilman Square requires careful planning to ensure that the neighborhood is prepared for the station and the changes which will come along with it. With this in mind, the Gilman Square Revitalization Plan will contextualize the goals and visions laid out in SomerVision and seek design and when needed, acquire real property for design along the Medford/School/Pearl St Corridor."
Otis St Playground Renovation,"57 Otis St
Somerville, MA
(42.388092, -71.090198)",,,T&I,Parks & Playgrounds,CDBG,Approved,425000.00,425000.00,,,,,,,,,,Improvements to the Otis St Playground.,The City has received a PARC grant to make improvements to the Otis St Playground. This project will make repairs to landscape features and playground equipment which is in need of renovation.
Boathouse Renovation and Shore Drive Improvements,"24 Shore Dr
Somerville, MA
(42.397787, -71.09051)",,,T&I,Parks & Playgrounds,Debt Service,Pending Review,3400000.00,,,500000.00,2500000.00,400000.00,,,,,,"This project will provide for the design work and construction to make the Blessing of the Bay Boathouse and surrounding park a more inviting, accessible, and utilized public amenity. The building and park are currently under DCR control, but the City intends to collaborate and pursue a cost-sharing agreement on this renovation.",The Blessing of the Bay Boathouse is a Somerville treasure and helps connect the city with the Mystic River. An improved boathouse can provide greater recreational opportunities and help to draw more community members to our valued but underutilized waterfront for outdoor activities.
Beacon Street Reconstruction,"120 Beacon St
Somerville, MA
(42.378146, -71.106212)",,,T&I,Infrastructure,Debt Service,Approved,1100000.00,300000.00,800000.00,,,,,,,,,Full depth reconstruction of Beacon St from Somerville Ave to the Cambridge city line.,"Beacon Street is an aging urban roadway in need of major utility and roadway upgrades. This fulldepth reconstruction will improve the function and flow of traffic, while dramatically improving pedestrian and bike infrastructure on one of the city’s most heavily used bicycle routes. The plan includes new sidewalks, new crosswalks, curbing, and improved drainage as well as traffic and pedestrian signal upgrades between Oxford St. and the Cambridge City line."
Gilman Square Roadway Improvements,"333 Medford St
Somerville, MA
(42.387398, -71.095389)",,,T&I,Infrastructure,Debt Service,Approved,2750000.00,,250000.00,1500000.00,1000000.00,,,,,,,"Improve the intersection of Medford, Pearl, and Marshall Streets and create a plaza at Gilman Square.","Improve access, flow, and safety for all modes of transportation (pedestrian, bicycle, MBTA bus, and vehicular) in coordination with the Green Line Extension and create a sense of place and community space through targeted enhancements as developed via community input gathered by Somerville by Design. For more information please refer to the draft Gilman Square Plan."
Highland Ave Fire Station Renovation (Engine 7),"265 Highland Ave
Somerville, MA
(42.391574, -71.11098)",,,Capital Projects,One-Time,Debt Service,Pending Review,2500000.00,,,500000.00,2000000.00,,,,,,,Repairs and renovation of the Highland Ave fire station housing SFD’s Engine 7.,The condition of the building calls for a renovation to support the health and safety of the firefighters working out of Engine 7.
Central Broadway Streetscape,"316 Broadway
Somerville, MA
(42.392505, -71.093324)",,,T&I,Infrastructure,Debt Service,Pending Review,13200000.00,,,400000.00,2400000.00,6400000.00,4000000.00,,,,,Evaluate existing transportation needs and prepare an urban streetscape design that improves safety while also fostering a distinctive sense of place along Central Broadway and building on the character of the Winter Hill neighborhood.,"This area has been long neglected. The goal of this project is to improve longstanding streetscape issues while improving the corridor and maximizing public green space along Broadway to the southerly edge of Foss Park, Somerville’s largest green space."
Davis Square Streetscape Improvements,"1 College Ave
Somerville, MA
(42.396691, -71.122179)",,,T&I,Infrastructure,"Debt Service, Enterprise Fund",Pending Review,9000000.00,,,6000000.00,3000000.00,,,,,,,"To address issues in the square related to signal timing and aging infrastructure with the goal of improving access, flow, and safety for all users as well as upgrading the public space, all while preserving the character of Davis Square.","Davis Square is one of the city’s busiest business districts and most traveled intersections for all modes of transportation. It is in need of traffic, pedestrian, and cycling infrastructure improvements to promote safety and flow and ADA improvements to ensure accessibility, as well as strategic streetscape updates and design changes that will maximize the community benefits of its public space. Please refer to the OSPCD website for more information on this project."
ArtFarm Construction,"30 Poplar St
Somerville, MA
(42.377555, -71.086941)",,,Arts Council,One-Time,"Debt Service, Grants",Approved,930000.00,300000.00,630000.00,,,,,,,,,"This project will convert the former 2.2 acre waste transfer station and incinerator into a self-sustaining creative space where artists, entrepreneurs, educators, and community members come together to experience transformational activities that cultivate community. The Somerville Arts Council has already received approximately $900,000 dollars in State and Federal grants for this project.","The City has been working with the neighboring Brickbottom Artists to develop a plan to activate the site of the former waste transfer station until a long-term plan for this space is determined. This project has the ability to engage local residents, activate an area of the city with less vibrancy, and pioneer urban techniques in the fields of sustainable building modes, agriculture, and community engagement."
Turf-to-Ice Summer Conversion Plan,"2 Bleachery Ct
Somerville, MA
(42.383731, -71.108762)",,,Recreation,One-Time,Capital Stabilization,Approved,67000.00,67000.00,,,,,,,,,,"Purchase of a turf material for indoor use at the Founders Memorial Ice Rink during the summer season. This will enable more consistent access to field space during the summer for youth and adult leagues, as well as generate a more consistent revenue stream for the Rink Enterprise Fund.","Athletic field space is at a premium in Somerville, especially during the summer season as youth sports, Recreation Department programming, and adult leagues all vie for space. A turfed indoor field can be used for many activities including soccer, bocce, futsol, and children’s parties. Critically, using the smaller rink in this way will smooth revenue generation for the rinks over the course of the year, contributing to the viability of the enterprise fund."
Modular Fire Station Housing (Engine 3),"233 Somerville Ave
Somerville, MA
(42.378358, -71.092125)",,,Capital Projects,One-Time,Debt Service,Approved,835000.00,835000.00,,,,,,,,,,Construct modular fire station housing to replace the current trailer housing members of SFD Engine 3.,"The existing trailer has outlived its useful life. The modular station is a cost-effective, medium- term solution until a permanent station can be built."
Civic Center Block Acquisitions,"53 Somerville Ave
Somerville, MA
(42.377337, -71.089429)",,,OSPCD,One-Time,Debt Service,Pending Review,2500000.00,,2500000.00,,,,,,,,,"The D-1 Civic Center Block is one of the integral elements of the Union Square Revitalization Plan (“the Plan”). As envisioned in the Plan, the D-1 Block offers the potential for the relocation of the public library, private commercial space, and structured parking to serve all of Union Square. The City has partnered with US2 developers as a Master Developer Partner for the Union Square disposition parcels. Site assembly has been completed bye the SRA for the D-2 Block as the location for the Union Square Green Line Station. Authorization to expend funds for the acquisition of the D-1 parcels represents the next step in implementing the Plan. A portion of the $2.5 million funding request reflects the current aggregate assessed value of the privately owned parcels (approximately $1.9 million). The balance of the request will be allocated toward required appraisal, relocation, and legal costs, consistent with the City’s experience in assembling the D-2 Block.","The Civic Center Block is an integral part of the approved Union Square Revitalization Plan. In addition to providing a site for a new central public library and increased efficiency arising from the consolidation of municipal services, the Civic Center Block can be a catalyst for significant private investment and commercial development in the immediate area, consistent with the goals of the Plan. The authorization of funding in FY16, in advance of the actual expenditure of funds would allow the City to effectively demonstrate the ability and the means by which the SRA could assemble the Civic Center Block. It is anticipated that funds would be expended between FY17 and FY20."
Combined Emergency Dispatch System,,,,Information Tech,One-Time,Debt Service,Pending Review,134741.00,,134741.00,,,,,,,,,"Purchase and Installation of a consolidated Somerville Public Safety System to be used by both the Police and Fire Departments for dispatch and records management. Currently, the Somerville Police and Fire Departments use the same, but completely separate installations of the Queues Enforth Development, Inc (QED) Acuity Computer Aided Dispatch (CAD) System. The Police and Fire CAD systems do not communicate in any way with each other. With the exception of a single interface for 911 calls, there is currently no sharing of data or information between these two systems.","The City would experience immediate benefits from the consolidation of the QED CAD system into a single, unified platform, including sharing data about incidents (such as names, addresses, descriptions, and history) and having both Police and Fire dispatchers able to see share and update ongoing information."
Teele Square Fire Station (Engine 6) Renovation,"248 Holland St
Somerville, MA
(42.403101, -71.127079)",,,Capital Projects,One-Time,Debt Service,Pending Review,3000000.00,,,,1000000.00,2000000.00,,,,,,Renovate Engine 6 to improve living space and interior layout.,The condition of the building calls for a renovation to support the health and safety of the firefighters working out of Engine 6.
